"data_id","treat","age","education","black","hispanic","married","nodegree","re75","re78"
"Lalonde Sample",1,37,11,1,0,1,1,0,9930.0458984375
"Lalonde Sample",1,22,9,0,1,0,1,0,3595.89404296875
"Lalonde Sample",1,30,12,1,0,0,0,0,24909.44921875
"Lalonde Sample",1,27,11,1,0,0,1,0,7506.14599609375
"Lalonde Sample",1,33,8,1,0,0,1,0,289.789886474609
"Lalonde Sample",1,22,9,1,0,0,1,0,4056.49389648438
"Lalonde Sample",1,23,12,1,0,0,0,0,0
"Lalonde Sample",1,32,11,1,0,0,1,0,8472.158203125
"Lalonde Sample",1,22,16,1,0,0,0,0,2164.02197265625
"Lalonde Sample",1,33,12,0,0,1,0,0,12418.0703125
"Lalonde Sample",1,19,9,1,0,0,1,0,8173.908203125
"Lalonde Sample",1,21,13,1,0,0,0,0,17094.640625
"Lalonde Sample",1,18,8,1,0,0,1,0,0
"Lalonde Sample",1,27,10,1,0,1,1,0,18739.9296875
"Lalonde Sample",1,17,7,1,0,0,1,0,3023.87890625
"Lalonde Sample",1,19,10,1,0,0,1,0,3228.5029296875
"Lalonde Sample",1,27,13,1,0,0,0,0,14581.8603515625
"Lalonde Sample",1,23,10,1,0,0,1,0,7693.39990234375
"Lalonde Sample",1,40,12,1,0,0,0,0,10804.3203125
"Lalonde Sample",1,26,12,1,0,0,0,0,10747.349609375
"Lalonde Sample",1,23,11,1,0,0,1,0,0
"Lalonde Sample",1,41,14,0,0,0,0,0,5149.5009765625
"Lalonde Sample",1,38,9,0,0,0,1,0,6408.9501953125
"Lalonde Sample",1,24,11,1,0,0,1,0,1991.40002441406
"Lalonde Sample",1,33,11,1,0,0,1,7867.916015625,6281.43310546875
"Lalonde Sample",1,18,10,1,0,0,1,0,11163.169921875
"Lalonde Sample",1,29,11,1,0,1,1,0,9642.9990234375
"Lalonde Sample",1,25,11,1,0,0,1,0,9897.048828125
"Lalonde Sample",1,27,10,0,1,0,1,0,11142.8701171875
"Lalonde Sample",1,17,10,1,0,0,1,0,16218.0400390625
"Lalonde Sample",1,24,11,1,0,0,1,0,995.7001953125
"Lalonde Sample",1,17,10,1,0,0,1,0,0
"Lalonde Sample",1,26,11,1,0,1,1,2754.64599609375,26372.279296875
"Lalonde Sample",1,48,4,1,0,0,1,0,6551.591796875
"Lalonde Sample",1,25,11,1,0,1,1,0,1574.42395019531
"Lalonde Sample",1,20,12,1,0,0,0,0,0
"Lalonde Sample",1,25,12,1,0,0,0,0,3191.7529296875
"Lalonde Sample",1,42,14,1,0,0,0,0,20505.9296875
"Lalonde Sample",1,25,5,1,0,0,1,0,6181.8798828125
"Lalonde Sample",1,23,12,1,0,1,0,0,5911.55078125
"Lalonde Sample",1,46,8,1,0,1,1,0,3094.15600585938
"Lalonde Sample",1,24,10,1,0,0,1,0,0
"Lalonde Sample",1,21,12,1,0,0,0,0,1254.58203125
"Lalonde Sample",1,19,9,0,0,0,1,0,13188.830078125
"Lalonde Sample",1,17,8,1,0,0,1,0,8061.48486328125
"Lalonde Sample",1,18,8,0,1,1,1,0,2787.9599609375
"Lalonde Sample",1,20,11,1,0,0,1,0,3972.5400390625
"Lalonde Sample",1,25,11,1,0,1,1,0,0
"Lalonde Sample",1,17,8,1,0,0,1,0,0
"Lalonde Sample",1,17,9,1,0,0,1,0,0
"Lalonde Sample",1,25,5,1,0,0,1,0,12187.41015625
"Lalonde Sample",1,23,12,1,0,0,0,0,4843.17578125
"Lalonde Sample",1,28,8,1,0,0,1,0,0
"Lalonde Sample",1,31,11,1,0,1,1,0,8087.48681640625
"Lalonde Sample",1,18,11,1,0,0,1,0,0
"Lalonde Sample",1,25,12,1,0,0,0,0,2348.97290039062
"Lalonde Sample",1,30,11,1,0,1,1,0,590.781799316406
"Lalonde Sample",1,17,10,1,0,0,1,0,0
"Lalonde Sample",1,37,9,1,0,0,1,0,1067.50598144531
"Lalonde Sample",1,41,4,1,0,1,1,0,7284.98583984375
"Lalonde Sample",1,42,14,1,0,1,0,0,13167.51953125
"Lalonde Sample",1,22,11,0,0,0,1,0,1048.43200683594
"Lalonde Sample",1,17,8,1,0,0,1,0,0
"Lalonde Sample",1,29,8,1,0,0,1,0,1923.93798828125
"Lalonde Sample",1,28,10,1,0,0,1,2836.50610351562,3196.57104492188
"Lalonde Sample",1,35,10,1,0,0,1,0,4666.23583984375
